"Price","Distance","Type","BuildingArea","Bathroom","Rooms","Car","Landsize","YearBuilt","Propertycount","Date","SaleYear","AgeWhenSold"
985000,3.3,"h",54,1,1,0,81,1900,3280,"30/07/2016",2016,116
2e+06,6.4,"h",263,2,4,4,853,1930,2211,"3/09/2016",2016,86
1717500,6.4,"h",203,2,4,1,599,1925,2211,"8/10/2016",2016,91
2840000,6.4,"h",165,4,5,4,809,1910,2211,"12/06/2016",2016,106
525500,6.4,"u",60,1,2,1,88,1960,2211,"12/11/2016",2016,56
805000,6.4,"t",140,2,2,3,155,2004,2211,"12/11/2016",2016,12
1830000,6.4,"h",112,2,4,2,606,1970,2211,"19/11/2016",2016,46
2100000,6.4,"h",271,2,4,2,575,2008,2211,"19/11/2016",2016,8
865000,6.4,"h",131,1,3,1,180,2010,2211,"22/05/2016",2016,6
390000,6.4,"u",60,1,2,1,0,1960,2211,"22/05/2016",2016,56
512000,6.4,"u",61,1,2,1,0,1965,2211,"25/02/2017",2017,52
1900000,6.4,"h",272,2,4,2,556,1930,2211,"27/11/2016",2016,86
1950000,6.4,"h",210,2,4,3,589,1920,2211,"30/07/2016",2016,96
520000,13.8,"h",242,2,3,1,352,2015,5301,"3/09/2016",2016,1
1525000,13.8,"h",268,3,5,3,729,2005,5301,"3/12/2016",2016,11
720000,13.8,"t",125,1,2,2,292,2013,5301,"4/02/2016",2016,3
1120000,13.8,"h",120,1,3,2,506,1930,5301,"4/03/2017",2017,87
1780000,13.8,"h",220,3,4,6,1057,1962,5301,"4/06/2016",2016,54
630000,13.8,"u",94,1,3,2,311,1955,5301,"6/08/2016",2016,61
660000,13.8,"h",123,1,3,1,602,1955,5301,"7/05/2016",2016,61
580000,13.8,"u",93,1,2,1,225,1988,5301,"8/10/2016",2016,28
1335000,13.8,"h",22,1,3,4,777,1953,5301,"8/10/2016",2016,63
510000,13.8,"u",76,1,2,1,127,1990,5301,"10/09/2016",2016,26
425000,13.8,"u",57,1,2,2,115,1980,5301,"10/09/2016",2016,36
391000,13.8,"u",65,1,2,1,0,1965,5301,"11/02/2017",2017,52
845000,13.8,"h",130,1,4,2,745,1950,5301,"11/02/2017",2017,67
730000,13.8,"u",141,2,3,1,69,2014,5301,"13/08/2016",2016,2
447000,13.8,"u",77,1,2,1,137,1990,5301,"15/10/2016",2016,26
678000,13.8,"h",87,1,3,2,606,1950,5301,"16/04/2016",2016,66
580000,13.8,"u",76,2,2,1,175,2013,5301,"16/07/2016",2016,3
840000,13.8,"h",136,2,3,2,534,1965,5301,"18/03/2017",2017,52
577000,13.8,"u",113,2,3,1,205,2007,5301,"23/04/2016",2016,9
857000,13.8,"h",100,2,2,1,675,1950,5301,"27/11/2016",2016,66
730000,13.8,"u",3,2,3,1,70,2014,5301,"28/05/2016",2016,2
535600,13.8,"h",91,1,2,1,154,1996,5301,"30/07/2016",2016,20
1085000,11.1,"h",251,3,5,6,592,1965,5132,"3/09/2016",2016,51
781000,11.1,"h",117,1,3,2,533,1970,5132,"3/09/2016",2016,46
421000,11.1,"t",77,1,2,1,77,2009,5132,"4/03/2017",2017,8
683000,11.1,"h",167,1,3,2,534,1967,5132,"4/06/2016",2016,49
720000,11.1,"h",130,2,3,1,0,2012,5132,"6/08/2016",2016,4
588000,11.1,"h",118,1,3,1,328,1970,5132,"7/05/2016",2016,46
710000,11.1,"h",116,1,3,3,540,1960,5132,"7/11/2016",2016,56
875000,11.1,"h",169,1,4,4,559,1965,5132,"8/10/2016",2016,51
675000,11.1,"h",109,2,3,2,171,2012,5132,"14/05/2016",2016,4
708000,11.1,"h",97,1,3,2,585,1960,5132,"15/10/2016",2016,56
693000,11.1,"h",170,2,4,4,315,2008,5132,"22/05/2016",2016,8
620000,11.1,"h",100,2,3,2,276,2010,5132,"22/08/2016",2016,6
728500,11.1,"h",157,1,3,1,531,1960,5132,"22/08/2016",2016,56
931000,11.1,"h",160,2,3,1,590,1950,5132,"22/08/2016",2016,66
815000,11.1,"h",130,2,3,3,555,1960,5132,"25/02/2017",2017,57
1200000,11.1,"h",158,1,4,4,633,1960,5132,"27/11/2016",2016,56
292000,11.1,"u",70,1,2,1,153,1970,5132,"28/08/2016",2016,46
599000,6.3,"u",76,1,2,1,0,1964,4836,"3/09/2016",2016,52
995000,6.3,"u",100,2,3,2,0,1998,4836,"3/12/2016",2016,18
1205000,6.3,"t",105,2,3,2,101,2000,4836,"3/12/2016",2016,16
1939000,6.3,"h",150,2,3,2,296,1889,4836,"3/12/2016",2016,127
1870000,6.3,"h",116,1,3,1,217,1888,4836,"4/03/2017",2017,129
1918000,6.3,"t",165,2,3,2,0,1995,4836,"4/03/2017",2017,22
2050000,6.3,"h",116,2,3,1,205,1910,4836,"4/03/2017",2017,107
735000,6.3,"u",14,2,3,1,2113,1970,4836,"7/05/2016",2016,46
1435000,6.3,"h",107,2,1,1,144,1900,4836,"8/10/2016",2016,116
280000,6.3,"u",38,1,1,1,0,1975,4836,"10/09/2016",2016,41
592500,6.3,"u",73,1,2,1,0,1970,4836,"10/12/2016",2016,46
1210000,6.3,"h",96,1,2,0,249,1910,4836,"12/11/2016",2016,106
2801000,6.3,"h",222,2,4,2,624,1900,4836,"12/11/2016",2016,116
1800000,6.3,"h",121,2,3,2,405,1910,4836,"15/10/2016",2016,106
2200000,6.3,"h",163,1,4,2,495,1900,4836,"15/10/2016",2016,116
5525000,6.3,"h",516,3,6,4,1491,1935,4836,"17/09/2016",2016,81
440000,6.3,"u",53,1,1,1,0,1970,4836,"18/03/2017",2017,47
1300000,6.3,"h",106,1,3,2,212,1900,4836,"18/06/2016",2016,116
704000,6.3,"u",74,1,2,1,0,1969,4836,"19/11/2016",2016,47
620000,6.3,"u",98,1,2,1,0,1970,4836,"19/11/2016",2016,46
1900000,6.3,"h",108,1,3,2,328,1900,4836,"22/05/2016",2016,116
710000,6.3,"u",80,1,2,1,2471,1970,4836,"25/02/2017",2017,47
598000,6.3,"u",88,1,2,1,0,1970,4836,"25/02/2017",2017,47
1285000,6.3,"h",80,1,3,2,186,1920,4836,"25/02/2017",2017,97
520000,6.3,"u",76,1,2,1,0,1970,4836,"27/06/2016",2016,46
3625000,6.3,"h",251,1,4,2,709,1900,4836,"27/11/2016",2016,116
4200000,6.3,"h",333,3,4,3,563,2000,4836,"27/11/2016",2016,16
1101000,6.3,"t",3,1,3,2,103,2000,4836,"27/11/2016",2016,16
3512500,6.3,"h",285,2,3,2,617,1998,4836,"27/11/2016",2016,18
869000,6.3,"u",91,1,3,1,0,1940,4836,"28/05/2016",2016,76
567000,6.3,"u",53,1,1,1,0,2013,4836,"28/08/2016",2016,3
940000,5.9,"h",108,1,3,2,298,1920,6567,"3/12/2016",2016,96
467000,5.9,"u",62,1,2,1,0,1980,6567,"3/12/2016",2016,36
1380000,5.9,"h",174,2,3,2,277,1910,6567,"4/03/2017",2017,107
490000,5.9,"u",62,1,2,1,423,1970,6567,"4/03/2017",2017,47
1850000,5.9,"h",270,3,4,1,478,1900,6567,"4/03/2017",2017,117
971000,5.9,"h",128,2,3,2,285,1900,6567,"4/06/2016",2016,116
710000,5.9,"h",77,1,2,1,214,1890,6567,"4/06/2016",2016,126
2425000,5.9,"h",435,3,6,2,1014,1887,6567,"4/06/2016",2016,129
750000,5.9,"h",92,1,2,1,226,1920,6567,"4/06/2016",2016,96
1053000,5.9,"h",109,1,2,1,269,1900,6567,"6/08/2016",2016,116
1377000,5.9,"h",168,1,3,1,417,1900,6567,"6/08/2016",2016,116
970000,5.9,"h",125,1,3,2,350,1904,6567,"7/05/2016",2016,112
751000,5.9,"h",79,1,2,1,118,1890,6567,"7/05/2016",2016,126
950000,5.9,"h",102,1,2,1,173,1900,6567,"7/05/2016",2016,116
685000,5.9,"u",90,1,2,2,228,1995,6567,"7/11/2016",2016,21
1230000,5.9,"h",148,1,3,2,594,1960,6567,"8/10/2016",2016,56
770000,5.9,"h",87,1,2,1,226,1900,6567,"10/09/2016",2016,116
890000,5.9,"h",185,1,4,1,300,1890,6567,"10/12/2016",2016,126
1440000,5.9,"h",131,1,3,1,487,1900,6567,"11/02/2017",2017,117
1e+06,5.9,"h",120,2,3,2,440,1955,6567,"12/11/2016",2016,61
1435000,5.9,"h",147,2,3,2,532,1950,6567,"12/11/2016",2016,66
390000,5.9,"u",58,1,1,1,0,1972,6567,"12/11/2016",2016,44
1425000,5.9,"h",139,2,3,2,495,1920,6567,"13/08/2016",2016,96
1340000,5.9,"h",232,2,4,2,683,1978,6567,"14/05/2016",2016,38
955000,5.9,"h",117,1,3,1,263,1910,6567,"14/05/2016",2016,106
1100000,5.9,"h",195,2,4,5,559,1920,6567,"15/10/2016",2016,96
432000,5.9,"u",62,1,2,1,0,1978,6567,"15/10/2016",2016,38
1640000,5.9,"h",204,3,4,2,562,1890,6567,"16/04/2016",2016,126
1430000,5.9,"h",286,2,6,1,461,1900,6567,"16/04/2016",2016,116
610000,5.9,"u",104,1,2,1,301,1995,6567,"16/04/2016",2016,21
940000,5.9,"h",127,3,3,1,491,1950,6567,"16/04/2016",2016,66
890000,5.9,"h",110,1,3,1,242,1920,6567,"16/07/2016",2016,96
1180000,5.9,"h",149,2,3,2,617,1930,6567,"17/09/2016",2016,86
1480000,5.9,"h",180,2,4,2,597,1939,6567,"17/09/2016",2016,77
865000,5.9,"t",132,2,2,1,146,2015,6567,"18/03/2017",2017,2
442000,5.9,"u",62,1,2,1,0,1975,6567,"18/06/2016",2016,41
1037500,5.9,"h",110,1,3,2,506,1920,6567,"19/11/2016",2016,96
1050000,5.9,"t",160,2,3,2,318,2013,6567,"19/11/2016",2016,3
440000,5.9,"u",65,1,2,1,0,1970,6567,"19/11/2016",2016,46
1430000,5.9,"h",158,2,4,0,418,1900,6567,"22/05/2016",2016,116
1130000,5.9,"h",157,2,3,1,272,1900,6567,"23/04/2016",2016,116
1135000,5.9,"h",104,1,3,1,296,1910,6567,"24/09/2016",2016,106
950000,5.9,"h",147,2,4,1,298,1920,6567,"24/09/2016",2016,96
390000,5.9,"u",69,1,2,1,1957,2012,6567,"25/02/2017",2017,5
1345000,5.9,"h",155,1,4,1,552,1920,6567,"25/02/2017",2017,97
1381500,5.9,"h",168,2,3,2,416,1900,6567,"25/02/2017",2017,117
940000,5.9,"h",172,2,3,2,285,2011,6567,"26/07/2016",2016,5
995000,5.9,"h",177,2,3,1,314,2010,6567,"26/07/2016",2016,6
786000,5.9,"h",120,2,3,1,576,1940,6567,"26/07/2016",2016,76
705000,5.9,"h",108,1,2,3,252,1910,6567,"27/06/2016",2016,106
760000,5.9,"h",77,1,2,1,124,1900,6567,"27/06/2016",2016,116
1e+06,5.9,"t",144,2,3,2,200,2003,6567,"27/11/2016",2016,13
1305000,5.9,"h",166,1,3,1,278,1900,6567,"28/05/2016",2016,116
1215000,5.9,"h",175,1,3,1,452,1960,6567,"28/08/2016",2016,56
545000,5.9,"u",71,1,2,2,194,1900,6567,"28/08/2016",2016,116
1705000,5.9,"h",273,2,4,4,598,2012,6567,"30/07/2016",2016,4
2650000,11,"h",399,3,4,2,753,2015,3052,"3/09/2016",2016,1
1670000,11,"h",220,2,3,2,599,1930,3052,"3/12/2016",2016,86
2050000,11,"t",315,3,3,4,310,2014,3052,"3/12/2016",2016,2
1555000,11,"h",149,2,3,2,731,1935,3052,"4/06/2016",2016,81
1100000,11,"h",178,3,3,2,276,2004,3052,"8/10/2016",2016,12
1337000,11,"h",112,1,3,2,583,1950,3052,"8/10/2016",2016,66
2950000,11,"h",618,7,8,4,1472,2009,3052,"10/09/2016",2016,7
1518000,11,"h",145,2,3,2,516,1920,3052,"10/09/2016",2016,96
1710000,11,"h",101,1,3,2,806,1950,3052,"10/12/2016",2016,66
1655000,11,"h",152,1,3,3,780,1940,3052,"10/12/2016",2016,76
1550000,11,"h",180,2,4,2,780,1938,3052,"12/11/2016",2016,78
1662000,11,"h",228,2,3,2,351,2006,3052,"14/05/2016",2016,10
1665000,11,"h",145,2,3,3,702,1945,3052,"15/10/2016",2016,71
3510000,11,"h",444,5,5,2,755,2015,3052,"18/03/2017",2017,2
9e+05,11,"t",110,2,3,2,153,1990,3052,"19/11/2016",2016,26
2752000,11,"h",390,4,5,2,1075,2010,3052,"22/08/2016",2016,6
1500000,11,"h",139,2,3,2,710,1945,3052,"22/08/2016",2016,71
1800000,11,"h",206,2,4,4,749,1950,3052,"25/02/2017",2017,67
1830000,11,"h",168,2,3,3,724,1940,3052,"25/02/2017",2017,77
1415000,11,"h",111,1,3,1,605,1950,3052,"27/06/2016",2016,66
1440000,11,"h",104,1,2,1,687,1940,3052,"27/06/2016",2016,76
1250000,11,"t",199,2,4,2,321,2007,3052,"27/11/2016",2016,9
1600000,11,"h",266,3,5,4,700,1950,3052,"27/11/2016",2016,66
1860000,11,"h",274,2,4,3,696,2000,3052,"27/11/2016",2016,16
1790000,11,"h",240,2,4,2,514,1935,3052,"28/05/2016",2016,81
1950000,11,"h",278,2,4,2,844,1940,3052,"28/05/2016",2016,76
1650000,11,"h",164,1,3,1,697,1947,3052,"28/08/2016",2016,69
1200000,12.2,"h",201,3,4,2,372,2016,2894,"4/03/2017",2017,1
1075000,12.2,"h",114,1,2,2,695,1950,2894,"4/06/2016",2016,66
1500000,12.2,"h",203,2,4,2,621,2000,2894,"6/08/2016",2016,16
7e+05,12.2,"t",110,1,2,2,367,1970,2894,"7/11/2016",2016,46
761000,12.2,"h",94,2,3,4,400,1950,2894,"7/11/2016",2016,66
1365000,12.2,"h",792,1,3,1,792,1950,2894,"10/09/2016",2016,66
1100000,12.2,"h",152,2,4,2,803,1970,2894,"10/12/2016",2016,46
690000,12.2,"u",90,1,2,1,216,2003,2894,"14/05/2016",2016,13
1631000,12.2,"h",215,2,3,3,782,1950,2894,"15/10/2016",2016,66
1500000,12.2,"h",255,2,4,1,593,1930,2894,"15/10/2016",2016,86
1529500,12.2,"h",317,3,5,2,585,2000,2894,"17/09/2016",2016,16
6e+05,12.2,"u",80,1,2,1,153,1970,2894,"18/03/2017",2017,47
1240000,12.2,"h",192,2,4,2,766,1950,2894,"19/11/2016",2016,66
7e+05,12.2,"u",88,1,2,2,192,2007,2894,"22/08/2016",2016,9
1110000,12.2,"h",86,1,2,1,586,1950,2894,"24/09/2016",2016,66
1305000,12.2,"h",120,1,3,1,760,1960,2894,"25/02/2017",2017,57
855000,12.2,"h",85,2,3,1,320,1958,2894,"25/02/2017",2017,59
900500,12.2,"t",134,2,3,2,256,2012,2894,"27/11/2016",2016,4
1200000,12.2,"h",198,2,3,2,839,1970,2894,"28/05/2016",2016,46
830000,12.2,"t",130,1,3,2,212,2012,2894,"28/08/2016",2016,4
850000,10.5,"h",118,1,3,1,593,1970,4502,"3/09/2016",2016,46
750000,10.5,"h",103,1,3,1,0,1980,4502,"3/09/2016",2016,36
851000,10.5,"t",181,3,3,1,557,2017,4502,"3/12/2016",2016,-1
1155000,10.5,"h",225,2,4,2,569,2008,4502,"4/06/2016",2016,8
680000,10.5,"h",120,1,3,2,570,1970,4502,"6/08/2016",2016,46
627500,10.5,"h",143,1,3,1,550,1970,4502,"8/10/2016",2016,46
950000,10.5,"h",281,3,4,3,761,1970,4502,"10/12/2016",2016,46
705000,10.5,"h",106,1,3,1,581,1960,4502,"22/05/2016",2016,56
1100000,10.5,"h",395,3,4,2,873,1992,4502,"22/05/2016",2016,24
892500,10.5,"h",118,1,3,1,586,1965,4502,"22/05/2016",2016,51
522500,10.5,"h",101,1,2,1,220,1995,4502,"24/09/2016",2016,21
680000,10.5,"h",140,2,4,2,554,1960,4502,"24/09/2016",2016,56
875000,10.5,"h",117,1,3,3,812,1960,4502,"25/02/2017",2017,57
762000,10.5,"h",150,2,4,2,589,1961,4502,"26/07/2016",2016,55
411000,10.5,"u",85,1,2,1,0,1995,4502,"27/11/2016",2016,21
805000,10.5,"h",103,2,3,2,593,1970,4502,"27/11/2016",2016,46
634000,10.5,"h",153,2,3,1,582,1950,4502,"28/05/2016",2016,66
1819000,6.6,"h",180,2,4,1,244,1900,2952,"3/09/2016",2016,116
410000,6.6,"u",61,1,2,2,0,1965,2952,"3/12/2016",2016,51
1015000,6.6,"t",120,1,2,2,114,2000,2952,"7/11/2016",2016,16
502500,6.6,"u",65,1,2,1,0,1960,2952,"15/10/2016",2016,56
520000,6.6,"u",58,1,2,0,0,1970,2952,"15/10/2016",2016,46
442000,6.6,"u",61,1,2,1,0,1960,2952,"17/09/2016",2016,56
1193000,6.6,"h",100,1,3,1,178,1920,2952,"18/06/2016",2016,96
416000,6.6,"u",49,1,2,1,0,1960,2952,"18/06/2016",2016,56
474000,6.6,"u",59,1,2,1,0,1970,2952,"22/05/2016",2016,46
981000,6.6,"h",84,1,2,0,159,1930,2952,"25/02/2017",2017,87
1690000,6.6,"h",159,2,3,2,339,1890,2952,"25/02/2017",2017,127
540000,6.6,"u",51,1,2,1,483,1970,2952,"27/06/2016",2016,46
2100000,9.7,"h",123,1,2,1,659,1920,5682,"3/09/2016",2016,96
1800000,9.7,"h",218,2,4,2,715,1985,5682,"3/09/2016",2016,31
1255000,9.7,"t",129,1,2,1,208,2000,5682,"3/09/2016",2016,16
1070000,9.7,"u",112,2,3,2,206,1998,5682,"3/12/2016",2016,18
2570000,9.7,"h",420,3,5,2,715,2009,5682,"3/12/2016",2016,7
2400000,9.7,"h",226,2,4,2,744,1985,5682,"3/12/2016",2016,31
806000,9.7,"u",97,1,2,1,122,1977,5682,"3/12/2016",2016,39
4e+06,9.7,"h",449,4,6,7,2051,1935,5682,"3/12/2016",2016,81
2250000,9.7,"h",356,3,5,2,600,2006,5682,"3/12/2016",2016,10
2800000,9.7,"h",349,3,5,2,678,2001,5682,"4/06/2016",2016,15
1850000,9.7,"h",166,1,2,1,1015,1930,5682,"6/08/2016",2016,86
7e+05,9.7,"h",110,1,3,1,188,1970,5682,"7/05/2016",2016,46
5e+05,9.7,"h",72,1,2,1,0,1960,5682,"7/05/2016",2016,56
2125000,9.7,"h",252,2,3,2,699,1985,5682,"7/05/2016",2016,31
1800000,9.7,"h",200,2,4,2,577,1948,5682,"8/10/2016",2016,68
635000,9.7,"u",70,1,2,1,0,2014,5682,"8/10/2016",2016,2
526000,9.7,"u",73,1,2,1,0,1960,5682,"10/09/2016",2016,56
905000,9.7,"h",150,1,3,2,281,1995,5682,"10/12/2016",2016,21
1750000,9.7,"h",308,3,4,2,453,2016,5682,"10/12/2016",2016,0
760000,9.7,"t",100,1,2,1,121,1960,5682,"10/12/2016",2016,56
1367000,9.7,"t",164,2,3,2,219,2003,5682,"10/12/2016",2016,13
1400000,9.7,"t",240,3,4,2,241,2009,5682,"12/11/2016",2016,7
3270000,9.7,"h",241,2,4,4,935,1927,5682,"12/11/2016",2016,89
625000,9.7,"u",104,1,2,1,115,1960,5682,"13/08/2016",2016,56
2730000,9.7,"h",336,3,4,2,674,1997,5682,"15/10/2016",2016,19
460000,9.7,"u",79,1,2,1,0,1950,5682,"16/04/2016",2016,66
1053000,9.7,"u",98,1,2,2,231,1985,5682,"16/07/2016",2016,31
1472000,9.7,"t",170,2,3,2,306,1995,5682,"16/07/2016",2016,21
754000,9.7,"u",88,1,2,1,87,1990,5682,"18/03/2017",2017,27
2188000,9.7,"h",253,2,4,2,752,1981,5682,"19/11/2016",2016,35
755000,9.7,"u",92,1,2,1,213,1980,5682,"19/11/2016",2016,36
3290000,9.7,"h",350,3,4,2,1007,1910,5682,"22/05/2016",2016,106
2410000,9.7,"h",207,2,4,1,685,1940,5682,"24/09/2016",2016,76
650000,9.7,"u",150,1,2,1,0,1960,5682,"24/09/2016",2016,56
2e+06,9.7,"h",291,1,4,2,739,1930,5682,"27/06/2016",2016,86
1900000,9.7,"h",155,2,4,1,665,1940,5682,"27/11/2016",2016,76
3401000,9.7,"h",166,2,3,1,706,1930,5682,"27/11/2016",2016,86
1750000,9.7,"h",193,2,3,3,613,1943,5682,"27/11/2016",2016,73
3020000,9.7,"h",420,3,5,2,715,2009,5682,"28/05/2016",2016,7
2450000,9.7,"h",260,2,5,2,981,1960,5682,"28/05/2016",2016,56
730000,9.7,"u",80,1,2,1,130,1960,5682,"28/08/2016",2016,56
1500000,9.7,"h",190,2,3,2,404,2011,5682,"28/08/2016",2016,5
1700000,9.7,"h",115,1,4,1,672,1935,5682,"30/07/2016",2016,81
1315000,9.2,"t",167,2,3,2,260,2000,7809,"3/09/2016",2016,16
1500000,9.2,"h",154,2,3,1,778,1950,7809,"3/09/2016",2016,66
3230000,9.2,"h",275,4,4,3,1135,1960,7809,"3/09/2016",2016,56
1905000,9.2,"h",185,2,4,2,647,1955,7809,"3/12/2016",2016,61
3300000,9.2,"h",477,4,5,2,760,2015,7809,"3/12/2016",2016,1
1900000,9.2,"h",215,2,4,2,642,1955,7809,"3/12/2016",2016,61
2251000,9.2,"h",137,1,3,2,888,1950,7809,"3/12/2016",2016,66
2205000,9.2,"h",214,2,4,2,750,1950,7809,"3/12/2016",2016,66
1265000,9.2,"h",160,2,3,1,347,2011,7809,"3/12/2016",2016,5
1750000,9.2,"h",185,2,4,2,673,1960,7809,"4/03/2017",2017,57
1450000,9.2,"h",124,1,3,2,665,1950,7809,"4/03/2017",2017,67
2614000,9.2,"h",150,2,4,2,772,1955,7809,"4/03/2017",2017,62
1825000,9.2,"h",225,2,4,3,736,1958,7809,"4/03/2017",2017,59
3250000,9.2,"h",520,4,5,2,886,2013,7809,"6/08/2016",2016,3
1150000,9.2,"t",144,2,3,1,207,2003,7809,"6/08/2016",2016,13
1572000,9.2,"h",330,2,4,2,662,1965,7809,"7/05/2016",2016,51
1750000,9.2,"h",365,3,5,2,705,2013,7809,"7/11/2016",2016,3
1850000,9.2,"h",254,2,4,2,619,1990,7809,"7/11/2016",2016,26
2130000,9.2,"h",275,3,4,2,1274,1970,7809,"8/10/2016",2016,46
3690000,9.2,"h",154,4,5,2,624,1967,7809,"8/10/2016",2016,49
1740000,9.2,"h",275,2,4,2,610,1993,7809,"10/09/2016",2016,23
